127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-25 20:17:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/default/add_reply/1, HTTP/1.1, 303, 0.023000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/default/index, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:19, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:17:20, GET, /hw2/default/add_reply/1, HTTP/1.1, 303, 0.018000
127.0.0.1, 2018-10-25 20:17:20, GET, /hw2/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-10-25 20:17:20, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-25 20:17:20, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:17:20, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:20, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:20, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.003000
